Source,Target,Weight
#QAnon,#QAnons,84
#QAnons,#QArmy,101
#DarkToLight,#QAnons,25
#QAnon2020,#QAnons,37
#DarkToLight,#QArmy,36
#QAnon2020,#QArmy,41
#DarkToLight,#QAnon2020,9
#ChinaLiedAndPeopleDied,#ChinaVirus,47
#ChinaLiedAndPeopleDied,#ChineseBioterrorism,12
#ChinaVirus,#ChineseBioterrorism,22
#BillGatesIsEvil,#FakeNewsMedia,5
#Qanon,#TrustThePlan,23
#BillGatesIsNotOurFriend,#CCPVirus,1
#DarkToLight,#TrustThePlan,32
#TheGreatAwakening,#TrustThePlan,53
#Qanon,#wwg1wga,36
#FireFauci,#WWG1WGA,21
#Pedogate,#PizzaGate,35
#VoterFraud,#VoterID,82
#Q,#QAnons,50
#Q,#QArmy,72
#ChinaLiedPeopleDied,#ChineseVirus19,42
#Pedogate,#SaveTheChildren,15
#FauciFraud,#FireFauci,30
#CCPvirus,#ChinaLiedPeopleDie,3
#Qanon,#TheGreatAwakening,221
#PizzaGate,#SaveTheChildren,37
#SaveTheChildren,#WWG1WGAWORLDWIDE,33
#PizzaGate,#TheGreatAwakening,39
#TheGreatAwakening,#WWG1WGAWORLDWIDE,108
#PizzaGate,#WWG1WGAWORLDWIDE,13
#CrimesAgainstChildren,#CrimesAgainstHumanity,23
#CrimesAgainstChildren,#PizzaGate,8
#Pedogate,#Qanons,1
#TheGreatAwakening,#TheStormIsHere,50
#TheStormIsHere,#fakenews,1
#TheGreatAwakening,#fakenews,3
#WWG1WGA,#fakenews,7
#DeepStateExposed,#FauciFraud,2
#DeepState,#QArmy,15
#CrimesAgainstHumanity,#PizzaGate,2
#DrainTheSwamp,#SpyGate,5
#ChineseBioterrorism,#ChineseVirus19,32
#Pedogate,#QAnon,47
#Pedogate,#QArmy,5
#ChinaLiedPeopleDied,#MakeChinaPay,63
#FilmYourHospital,#QAnon,11
#FilmYourHospital,#WWG1WGA,8
#ChineseVirus19,#Coronavirustruth,5
#GreatAwakening,#WWG1WGAWORLDWIDE,45
#CrimesAgainstHumanity,#GreatAwakening,10
#CrimesAgainstHumanity,#WWG1WGAWORLDWIDE,6
#WWG1WGA,#q,45
#ChineseCoronaVirus,#ChineseVirus19,7
#ChineseBioterrorism,#ChineseCoronaVirus,5
#CoronaHoax,#FilmYourHospital,31
#CoronaHoax,#EmptyHospitals,6
#DarkToLight,#Qanon,65
#DarkToLight,#GreatAwakening,45
#QArmy,#Qanon,40
#Q,#Qanon,155
#TrustThePlan,#wwg1wga,4
#Q,#TrustThePlan,31
#QAnons,#TrustThePlan,6
#Q,#wwg1wga,15
#QAnons,#wwg1wga,9
#ChinaLiedAndPeopleDied,#ChinaMustExplain,50
#ChinaLiedAndPeopleDied,#ChinaLiedPeopleDie,2
#ChinaLiedPeopleDie,#ChinaMustExplain,18
#QAnons,#TheGreatAwakening,64
#DEEPSTATETAKEDOWN,#TheGreatAwakening,7
#DEEPSTATETAKEDOWN,#QAnons,3
#BillGatesVirus,#DeepStateExposed,2
#DEEPSTATETAKEDOWN,#QAnon,6
#DEEPSTATETAKEDOWN,#WWG1WGA,16
#PIZZAGATEISREAL,#Pedogate,8
#PIZZAGATEISREAL,#PizzaGate,14
#ChinaIsAsshoe,#FakeNewsCNN,1
#fakenews,#qanon,7
#WWG1WGA,#thegreatawakening,36
#QANON,#thegreatawakening,5
#QANON,#WWG1WGAWORLDWIDE,13
#GreatAwakening,#QArmy,58
#Q,#qanon,21
#TheGreatAwakening,#qanon,86
#qanon,#savethechildren,23
#Q,#savethechildren,8
#TheGreatAwakening,#savethechildren,8
#WWG1WGA,#savethechildren,10
#QArmy,#WWG1WGAWORLDWIDE,69
#QAnons,#WWG1WGAWORLDWIDE,58
#GreatAwakening,#QAnons,35
#CCPVirus,#ChinaLiedAndPeopleDied,34
#BoycottChina,#ChinaLiedAndPeopleDied,16
#FakeNews,#VoterID,1
#PizzaGate,#Qanon,23
#CrimesAgainstHumanity,#TheGreatAwakening,5
#CrimesAgainstHumanity,#wwg1wga,1
#CrimesAgainstHumanity,#qanon,2
#CrimesAgainstHumanity,#DarkToLight,2
#TheGreatAwakening,#wwg1wga,50
#DarkToLight,#wwg1wga,11
#DarkToLight,#qanon,21
#CCPLiedPeopleDied,#CCPVirus,83
#CCPLiedPeopleDied,#MakeChinaPay,10
#PIZZAGATEISREAL,#SaveTheChildren,11
#ChinaLiedAndPeopleDied,#ChinaMustPay,46
#FakeNews,#FakeNewsAlert,22
#PizzaGate,#qanon,9
#Qanon,#TheStormIsHere,20
#COVIDIOTS,#Coronavirustruth,6
#COVIDIOTS,#ChineseVirus19,2
#CCPVirus,#ChinaLiedPeopleDied,143
#q,#wwg1wga,40
#q,#thegreatawakening,24
#q,#savethechildren,4
#savethechildren,#wwg1wga,13
#savethechildren,#thegreatawakening,10
#COVIDIOT,#Coronavirustruth,2
#CoronaHoax,#Coronavirustruth,11
#COVIDIOT,#CoronaHoax,3
#Qanon,#Qarmy,47
#Agenda21,#Qanon,4
#Agenda21,#Qarmy,2
#DeepState,#SaveTheChildren,12
#DeepState,#Treason,7
#QAnon,#Treason,20
#SaveTheChildren,#Treason,2
#TheGreatAwakening,#Treason,9
#GreatAwakening,#Q,66
#ChinaIsAsshoe,#ChinaLiedPeopleDie,6
#TheStormIsUponUs,#WWG1WGA,84
#CrimesAgainstHumanity,#Spygate,1
#CCPVirus,#CCP_is_terrorist,56
#QAnon,#Qanon,13
#QAnon2020,#Qanon,27
#Qanon,#WWG1WGAWORLDWIDE,71
#QAnon,#WWG1WGAWORLDWIDE,202
#QAnon2020,#WWG1WGAWORLDWIDE,25
#QANON,#Qanon,7
#GreatAwakening,#TheStormIsHere,12
#GreatAwakening,#QANON,24
#QArmy,#TheStormIsHere,17
#QANON,#TheStormIsHere,4
#QANON,#QArmy,5
#BigPharma,#FakeNews,4
#FakeNews,#QAnon,41
#BigPharma,#QAnon,7
#QAnon,#wwg1wga,40
#QAnons,#qanon,23
#CoronaHoax,#FireFauci,12
#ChinaLiedAndPeopleDied,#ChineseVirus19,17
#TrustThePlan,#WWG1WGA,144
#CCPvirus,#ChineseVirus,7
#endthelockdown,#endthelockdownnow,13
#QAnons,#TheGreatAwakeningWorldwide,19
#CCPvirus,#ChinaMustPay,3
#QArmy,#TheGreatAwakening,104
#DrainTheSwamp,#VoterFraud,2
#DrainTheSwamp,#VoterID,4
#pizzagate,#q,4
#ChinaVirus,#chinazi,7
#ChineseVirus19,#chinazi,4
#ChinaVirus,#ChineseVirus19,22
#Qanon,#Qanons,68
#Qanons,#WWG1WGAWORLDWIDE,15
#Coronavirustruth,#TheGreatAwakeningWorldwide,1
#LockdownEnd,#endthelockdownnow,1
#QArmy,#Treason,6
#Treason,#WWG1WGA,21
#Treason,#WWG1WGAWORLDWIDE,3
#Q,#Treason,6
#DrainTheSwamp,#TheGreatAwakening,22
#DrainTheSwamp,#TrustThePlan,5
#Pedogate,#pizzagate,7
#QAnon,#TheStormIsHere,49
#ChinaLiedPeopleDied,#ChineseBioterrorism,36
#TrustThePlan,#qanon,7
#CCPVirus,#ChinaLiedPeopleDie,33
#PizzaGate,#TrustThePlan,4
#conspiracy,#fakenews,5
#ChineseVirus,#FakeNewsMedia,6
#Qanon,#pizzagate,4
#Qanon,#deepstate,4
#deepstate,#pizzagate,4
#CCPVirus,#ChinaMustPay,49
#ChinaMustPay,#ChineseVirus19,17
#CCPVirus,#ChineseVirus19,10
#ChineseVirus,#ChineseVirus19,36
#DeepState,#GreatAwakening,10
#VoterID,#WWG1WGA,12
