Id,Label,Category,Weight
#ChineseCoronaVirus,#ChineseCoronaVirus,teoriasconspCOVID,119
#VoteRedToSaveAmerica,#VoteRedToSaveAmerica,AltRight,117
#PIZZAGATEISREAL,#PIZZAGATEISREAL,OTRaS,115
#CrimesAgainstChildren,#CrimesAgainstChildren,QANON,114
#chinavirus,#chinavirus,teoriasconspCOVID,114
#BillGatesBioTerrorist,#BillGatesBioTerrorist,teoriasconspCOVID,112
#FakeCases,#FakeCases,teoriasconspCOVID,111
#firefauci,#firefauci,teoriasconspCOVID,111
#DEEPSTATETAKEDOWN,#DEEPSTATETAKEDOWN,OTRaS,110
#Fakenews,#Fakenews,FAKE NEWS,109
#CNNFakeNews,#CNNFakeNews,AltRight,108
#SavetheChildren,#SavetheChildren,QANON,107
#ChineseVirusCensorship,#ChineseVirusCensorship,teoriasconspCOVID,107
#Covidiots,#Covidiots,teoriasconspCOVID,105
#Qarmy,#Qarmy,QANON,104
#FlatEarth,#FlatEarth,OTRaS,102
#PatriotStrikeTeam,#PatriotStrikeTeam,AltRight,95
#PatriotsFight,#PatriotsFight,AltRight,89
#PatriotsAwakened,#PatriotsAwakened,AltRight,87
#Trump2020NowMoreThanEver,#Trump2020NowMoreThanEver,AltRight,79
#TrumpPressBriefing,#TrumpPressBriefing,AltRight,69
#DonaldTrump,#DonaldTrump,AltRight,68
#PatriotsUnited,#PatriotsUnited,AltRight,61
